L1;D set_k_time 1293179372
L5945; D345 month=5
L5946; D345 week_day_name=saturday
L5947; D345-D387 = 54299
L5948;D594 added 7 years 1943-06-30
L5949;D594 += -3 1943-06-27
L5950; D594>D11 FALSE
L5951; D401 != D217 TRUE
L5952; D164 mod_julian_day=21704
L5953; D164>=D422 FALSE
L5954; D462 week_day_name=tuesday
L5955;D100 -- 2356-10-01
L5956;D100 added 0 months 2356-11-01
L5957; D100 year=2356
L5958; D100 week_day_name=thursday
L5959; D100 printed 2356-11-01
L5960; D100 mod_julian_day=181875
L5961; D439 printed 2240-04-02
L5962; D439 week_day=4
L5963;D475 added 0 years 2181-02-19
L5964;D475 added 1 months 2181-03-19
L5965; D475 year=2181
L5966; D475>=D528 FALSE
L5967;D593 added 0 years 1988-04-01
L5968;D593 ++ 1988-04-02
L5969; D593>=D409 TRUE
L5970;D472 added 0 months 2168-03-28
L5971; D472 printed 2168-03-28
L5972; D472-D24 = 61024
L5973; D472 year=2168
L5974; D472 == D284 FALSE
L5975; D492 != D15 TRUE
L5976; D492 month_name=july
L5977; D492 days_this_month=31
L5978; D492 week_day=6
L5979; D339<D449 TRUE
L5980;D212 -- 2297-11-30
L5981;D212 added 0 months 2297-12-30
L5982; D212<D523 FALSE
L5983; D212 month_name=december
L5984; D407>=D88 FALSE
L5985; D407 month=3
L5986; D407 days_this_month=31
L5987; D559 != D118 TRUE
L5988; D559 mod_julian_day=187194
L5989; D559 month_name=may
L5990; D559 == D249 FALSE
L5991;D318 -= 0 2157-04-05
L5992; D318-D435 = 18768
L5993; D22 day=29
L5994;D129 added 9 months 2266-06-01
L5995;D267=D554 1995-05-20
L5996; D267 week_day_name=saturday
L5997; D267 month_name=may
L5998;D335=D553 2266-11-19
L5999; D335>D19 TRUE
L6000; D335 != D538 TRUE
L6001; D335 week_day_name=monday
L6002; D335>=D34 TRUE
L6003;D343 added 0 years 2339-12-07
L6004; D343<=D523 FALSE
L6005; D343 month=12
L6006;D173 -- 2231-10-10
L6007; D173>=D177 TRUE
L6008;D274 ++ 2279-09-28
L6009; D274>D165 TRUE
L6010; D274 == D277 FALSE
L6011; D274 week_day=7
L6012; D274 days_this_month=30
L6013;D465 added 0 years 2078-03-06
L6014; D465 year=2078
L6015;D412 += 0 1924-03-11
L6016; D412 year=1924
L6017;D161 added 2 months 2313-03-24
L6018;D161 added 0 years 2314-03-24
L6019; D161 printed 2314-03-24
L6020; D161>D464 TRUE
L6021; D161 == D495 FALSE
L6022;D483 -= 9 2225-02-18
L6023; D483 month_name=february
L6024; D483 day=18
L6025; D483 month=2
L6026;D177 -- 2182-10-18
L6027;D80 added 2 months 2230-04-28
L6028;D410 ++ 2139-07-14
L6029; D410 month=7
L6030; D410 == D398 FALSE
L6031; D410<D236 TRUE
L6032; D410 day=14
L6033;D67 -- 2173-03-20
L6034;D67 -= 2 2173-03-18
L6035; D67>=D492 FALSE
L6036; D67<=D598 FALSE
L6037; D67 mod_julian_day=114808
L6038; D67 month_name=march
L6039;D295 ++ 2001-03-01
L6040; D295 printed 2001-03-01
L6041; D295>D277 FALSE
L6042;D171 -- 1954-10-07
L6043;D171=D517 1939-02-16
L6044; D171>D523 FALSE
L6045;D340=D348 2332-05-10
L6046;D340 -- 2332-05-09
L6047;D47 ++ 2087-12-01
L6048; D47<=D201 FALSE
L6049; D384 printed 2100-09-02
L6050;D191=D310 2020-02-29
L6051;D191 added -8 years 2012-02-29
L6052; D191 week_day=3
L6053; D191-D250 = -7153
L6054; D191 year=2012
L6055; D191>=D28 FALSE
L6056;D510 ++ 2328-01-31
L6057; D510 week_day=2
L6058; D510 mod_julian_day=171373
L6059; D510 printed 2328-01-31
L6060; D510<=D584 FALSE
L6061;D478 added -8 years 2184-11-02
L6062; D478 != D246 TRUE
L6063; D478 week_day_name=tuesday
L6064;D221 -- 2089-05-20
L6065;D221 added -8 months 2088-09-20
L6066; D221-D528 = -40478
L6067; D23 week_day_name=wednesday
L6068; D23 day=30
L6069;D433 += 2 2009-03-30
L6070;D433 -= 9 2009-03-21
L6071; D433 week_day=6
L6072;D2 -= -5 2372-06-06
L6073;D2=D548 2168-02-20
L6074; D2-D1 = 94752
L6075; D2 year=2168
L6076; D2 mod_julian_day=112955
L6077; D339<=D178 TRUE
L6078;D574 added 0 months 2167-01-09
L6079;D574=D199 2118-10-31
L6080; D574 days_this_month=31
L6081; D574 != D33 TRUE
L6082; D574 year=2118
L6083; D574>D197 TRUE
L6084; D455 year=2097
L6085; D152 != D297 TRUE
L6086; D152-D54 = 105289
L6087; D152 printed 2342-12-01
L6088;D457 -= -1 2108-03-01
L6089;D457 += 4 2108-03-05
L6090; D457 printed 2108-03-05
L6091; D457<=D459 FALSE
L6092; D457>D138 TRUE
L6093; D457 days_this_month=31
L6094;D202 -- 2024-10-12
L6095; D202 != D420 TRUE
L6096; D202-D225 = -116068
L6097; D202 day=12
L6098;D160=D290 1998-05-07
L6099;D160 added 0 years 1999-05-07
L6100; D160 month_name=may
L6101; D160>=D177 FALSE
L6102; D160<=D192 TRUE
L6103;D284 += 3 2067-05-08
L6104;D284 -- 2067-05-07
L6105; D284 printed 2067-05-07
L6106;D390 -- 2031-02-27
L6107;D390 added 0 years 2032-02-27
L6108; D390>D162 FALSE
L6109; D390 day=27
L6110; D390 month_name=february
L6111;D249 added 0 years 2397-09-28
L6112; D249>D345 TRUE
L6113; D249 days_this_month=30
L6114; D249 mod_julian_day=196816
L6115;D367 += -9 2356-09-23
L6116; D367>D262 TRUE
L6117; D266 week_day=2
L6118;D461=D404 2028-07-01
L6119; D461>D586 FALSE
L6120; D461 week_day=6
L6121; D461 == D249 FALSE
L6122;D77 added 2 months 2220-04-29
L6123;D77=D483 2225-02-18
L6124;D390 ++ 2032-02-28
L6125;D390 added 10 months 2032-12-28
L6126;D391 ++ 2055-04-24
L6127;D391 added -7 months 2054-09-24
L6128; D391 day=24
L6129;D582 += 8 2131-10-09
L6130;D582 added -1 years 2130-10-09
L6131; D582 printed 2130-10-09
L6132; D582-D16 = 59359
L6133; D582 != D132 TRUE
L6134; D582 week_day_name=monday
L6135;D104 added -2 years 2332-02-27
L6136;D104=D251 2034-05-02
L6137; D104 day=2
L6138; D104 month=5
L6139; D104 week_day_name=tuesday
L6140; D104 == D382 FALSE
L6141; D507 days_this_month=28
L6142; D179 printed 2375-07-20
L6143; D179 != D523 TRUE
L6144; D179>D238 TRUE
L6145;D411 -- 1921-03-27
L6146; D411 week_day=7
L6147; D411 month=3
L6148; D411 == D540 FALSE
L6149;D361 added 0 months 2222-10-16
L6150;D361=D418 1948-02-13
L6151; D361 month_name=february
L6152; D361<D377 TRUE
L6153; D255 != D427 TRUE
L6154; D255 == D290 FALSE
L6155; D184 days_this_month=31
L6156; D184>=D540 FALSE
L6157; D184>D266 FALSE
L6158; D184<D458 FALSE
L6159;D340 -= 9 2332-04-30
L6160;D355=D552 2166-07-02
L6161; D355 month=7
L6162;D524 added 0 years 2321-03-29
L6163;D132 added 0 years 2114-09-25
L6164; D132 week_day_name=tuesday
L6165; D132>=D115 FALSE
L6166; D132 == D168 FALSE
L6167;D262 added 0 months 2110-04-07
L6168; D262 week_day_name=monday
L6169;D184 -- 2239-08-28
L6170;D184 added 0 years 2240-08-28
L6171; D184 month=8
L6172; D184 printed 2240-08-28
L6173;D74 ++ 2209-03-09
L6174; D74<=D96 FALSE
L6175; D74 month_name=march
L6176; D74 week_day_name=thursday
L6177;D107 -- 2347-02-20
L6178; D107 week_day=4
L6179; D107 == D170 FALSE
L6180; D506-D342 = 109744
L6181; D506<D567 FALSE
L6182; D506 month=3
L6183;D365=D492 2251-07-05
L6184; D365>=D359 TRUE
L6185; D365 day=5
L6186; D365 printed 2251-07-05
L6187; D365<=D151 FALSE
L6188; D572 days_this_month=30
L6189; D572>D509 FALSE
L6190;D308 added 0 years 2239-09-22
L6191;D308 added 0 months 2239-10-22
L6192;D329=D226 2351-12-22
L6193;D329 added 1 years 2352-12-22
L6194;D476 added 7 months 2183-03-28
L6195; D476>D27 TRUE
L6196; D476 month=3
L6197;D251 added 0 years 2035-05-02
L6198; D251 days_this_month=31
L6199; D251 day=2
L6200; D251 mod_julian_day=64449
L6201;D379 added -6 years 2157-04-14
L6202; D379 year=2157
L6203; D379 mod_julian_day=108991
L6204; D379 month=4
L6205;D183 ++ 2217-04-09
L6206; D183 week_day=3
L6207; D183 printed 2217-04-09
L6208; D183 month_name=april
L6209; D183 week_day_name=wednesday
L6210;D569 -- 2159-10-26
L6211; D569 week_day=5
L6212; D569 mod_julian_day=109916
L6213; D347 != D499 TRUE
L6214; D101-D208 = -16477
L6215; D101 month=3
L6216;D470 added 0 years 2161-02-28
L6217;D470=D309 2261-08-17
L6218;D533 added 0 years 1981-01-27
L6219;D280 added 7 years 2398-09-19
L6220;D280 += -1 2398-09-18
L6221; D528 == D275 FALSE
L6222; D528<=D539 FALSE
L6223;D446 -- 2060-03-19
L6224; D446 day=19
L6225; D446<=D562 TRUE
L6226;D390 added -10 years 2022-12-28
L6227;D390 added 2 months 2023-02-28
L6228; D390 year=2023
L6229; D390 day=28
L6230;D185 added 3 months 2258-03-03
L6231;D185 added 0 months 2258-04-03
L6232; D185 days_this_month=30
L6233; D182 day=1
L6234; D445 month=1
L6235; D26 mod_julian_day=131950
L6236; D26<=D368 FALSE
L6237; D26<D297 FALSE
L6238; D26 month_name=february
L6239; D361 != D47 TRUE
L6240; D361 week_day_name=friday
L6241; D361<=D119 TRUE
L6242; D361<D298 TRUE
L6243;D416 ++ 1940-10-28
L6244;D416 added -9 months 1940-01-28
L6245; D416<=D196 TRUE
L6246; D416 != D301 TRUE
L6247; D416 month=1
L6248; D416>=D462 FALSE
L6249;D33=D128 2381-11-03
L6250; D33 days_this_month=30
L6251; D33-D558 = 66594
L6252; D33 mod_julian_day=191008
L6253; D33 day=3
L6254;D332 -- 1931-12-09
L6255; D332>D213 FALSE
L6256; D332<D138 TRUE
L6257; D332 != D62 TRUE
L6258;D414 added 0 months 1933-03-24
L6259; D414 year=1933
L6260; D414>=D329 FALSE
L6261; D414 month=3
L6262;D300 added -1 years 2114-09-08
L6263;D300 added 0 months 2114-10-08
L6264; D300 month=10
L6265; D300 days_this_month=31
L6266; D300 mod_julian_day=93462
L6267; D151<D11 TRUE
L6268; D151 year=1968
L6269; D151 day=3
L6270;D525 ++ 2388-03-26
L6271;D525 added 0 years 2389-03-26
L6272; D525 day=26
L6273; D525-D251 = 129259
L6274; D525 != D57 TRUE
L6275;D254 added 0 years 2234-03-29
L6276; D254 month_name=march
L6277; D254 week_day_name=saturday
L6278; D254<=D233 FALSE
L6279; D242 printed 2096-03-05
L6280; D242 month=3
L6281; D242>=D590 FALSE
L6282; D242-D372 = 4002
L6283;D187=D57 2136-02-28
L6284;D187 added 2 years 2138-02-28
L6285; D187 days_this_month=28
L6286; D429 week_day_name=monday
L6287; D429 day=9
L6288; D263>D39 FALSE
L6289; D263 days_this_month=31
L6290;D102 ++ 1900-01-23
L6291;D102 += 4 1900-01-27
L6292; D102 != D202 TRUE
L6293; D102 week_day=6
L6294; D102 day=27
L6295;D328 added 0 months 2238-12-10
L6296; D328 printed 2238-12-10
L6297; D267 day=20
L6298;D92 added -2 months 2278-10-14
L6299;D92 -= 10 2278-10-04
L6300; D92 week_day_name=friday
L6301;D188 -- 2358-11-08
L6302;D188=D53 1994-02-17
L6303; D188>D555 FALSE
L6304; D188 days_this_month=28
L6305; D188 year=1994
L6306;D564 added 10 years 2184-01-31
L6307;D564=D590 2216-03-31
L6308; D564 printed 2216-03-31
L6309; D564 week_day_name=sunday
L6310; D564<D392 FALSE
L6311; D564 != D63 TRUE
L6312;D339=D178 2344-08-03
L6313;D339 added 0 months 2344-09-03
L6314; D339 == D269 FALSE
L6315; D339 week_day=7
L6316; D339>D122 TRUE
L6317;D129 added -10 years 2256-06-01
L6318; D129<=D505 TRUE
L6319; D129 month=6
L6320; D129 day=1
L6321;D436 added 0 months 2020-03-29
L6322;D243 added 0 years 2073-02-03
L6323;D243 added 0 months 2073-03-03
L6324; D243 day=3
L6325;D394 ++ 2111-05-20
L6326;D394 -= 3 2111-05-17
L6327; D394<=D297 TRUE
L6328; D394 year=2111
L6329; D394 printed 2111-05-17
L6330; D394 week_day=7
L6331;D273 -= 8 1904-09-20
L6332;D256 -- 2040-03-11
L6333; D256>D239 TRUE
L6334; D256<D9 FALSE
L6335; D256 printed 2040-03-11
L6336;D57 added 0 months 2136-03-28
L6337;D57 added 0 years 2137-03-28
L6338; D57<D227 FALSE
L6339; D57 days_this_month=31
L6340; D57 year=2137
L6341;D378 added 0 months 2088-10-14
L6342;D549 added 9 years 2289-11-29
L6343; D549<D87 FALSE
L6344; D403<=D107 TRUE
L6345;D346 += 3 1925-09-19
L6346; D346<=D158 TRUE
L6347; D346 == D22 FALSE
L6348; D346>=D352 FALSE
L6349; D351<D538 FALSE
L6350; D351>D297 TRUE
L6351; D351<=D412 FALSE
L6352; D351 printed 2174-09-22
L6353; D504 month_name=march
L6354; D504 printed 2304-03-27
L6355; D504<=D363 FALSE
L6356; D504>=D348 FALSE
L6357; D255-D273 = 330
L6358; D255 != D587 TRUE
L6359; D255 week_day_name=wednesday
L6360; D255 printed 1905-08-16
L6361;D170 -= 4 1985-03-19
L6362; D170 week_day_name=tuesday
L6363; D170 days_this_month=31
L6364; D170>D390 FALSE
L6365; D170 day=19
L6366;D411 -= -6 1921-04-02
L6367; D411 month_name=april
L6368; D411 == D434 FALSE
L6369; D411 mod_julian_day=22781
L6370;D213 added -7 months 2099-08-25
L6371;D213=D412 1924-03-11
L6372; D213 week_day_name=tuesday
L6373; D213 day=11
L6374; D213 printed 1924-03-11
L6375; D213-D18 = -19400
L6376;D245 added 3 years 2325-01-10
L6377; D245 month=1
L6378; D245 day=10
L6379; D245 == D533 FALSE
L6380;D307 ++ 2247-07-18
L6381; D307 year=2247
L6382; D307<D347 FALSE
L6383; D360<D590 TRUE
L6384; D360-D426 = -10025
L6385; D360 != D199 TRUE
L6386; D360 year=1952
L6387;D214 -= -6 2121-12-17
L6388; D214 day=17
L6389; D214>D153 TRUE
L6390; D214 year=2121
L6391;D341=D301 2332-05-10
L6392;D341 -- 2332-05-09
L6393; D341>=D21 TRUE
L6394; D341 days_this_month=31
L6395; D341-D461 = 110980
L6396; D341 month=5
L6397; D96 week_day_name=wednesday
L6398; D96>=D128 FALSE
L6399; D96<D185 TRUE
L6400; D335<D520 TRUE
L6401; D335-D245 = -21236
L6402; D335 month_name=november
L6403; D335 day=19
L6404;D183 -= 3 2217-04-06
L6405;D183 added 0 months 2217-05-06
L6406; D183<D36 FALSE
L6407;D444 added 0 months 2053-03-28
L6408;D444 += 2 2053-03-30
L6409; D444 month=3
L6410; D444 week_day=7
L6411; D444 == D28 FALSE
L6412; D444<D374 TRUE
L6413;D379 -= -6 2157-04-20
L6414; D379 week_day_name=wednesday
L6415; D379 != D420 TRUE
L6416; D379 month=4
L6417; D379>=D26 FALSE
L6418;D563 ++ 2193-12-07
L6419;D563 -- 2193-12-06
L6420; D563 week_day_name=friday
L6421; D563 days_this_month=31
L6422; D563 == D465 FALSE
L6423; D563 month=12
L6424;D133 += 1 2385-05-13
L6425; D133 != D423 TRUE
L6426; D133>=D530 TRUE
L6427; D133<D444 FALSE
L6428; D133 == D103 FALSE
L6429; D233>D28 TRUE
L6430; D233 mod_julian_day=92185
L6431; D233 day=10
L6432; D233 printed 2111-04-10
L6433;D30 added -8 months 2023-06-29
L6434; D30 month_name=june
L6435; D30 year=2023
L6436; D30>=D50 FALSE
L6437; D134 year=1992
L6438;D132 added -8 months 2114-01-25
L6439; D132 month_name=january
L6440; D132<D266 TRUE
L6441; D198 printed 1948-02-25
L6442;D438 added -1 months 2035-02-28
L6443; D438 mod_julian_day=64386
L6444;D334 -- 2397-03-04
L6445;D334 ++ 2397-03-05
L6446; D206 mod_julian_day=171372
L6447; D206<=D405 FALSE
L6448; D206 day=30
L6449;D273 added 3 years 1907-09-20
L6450;D273 added 3 months 1907-12-20
L6451; D262 day=7
L6452; D262<D280 TRUE
L6453; D262-D513 = 18817
L6454; D262 mod_julian_day=91817
L6455;D599 -= 4 2082-09-07
L6456; D599 year=2082
L6457; D348 month_name=may
L6458; D348 != D146 TRUE
L6459; D348 == D589 FALSE
L6460;D393 added 5 years 2283-01-21
L6461; D393<=D199 FALSE
L6462;D553 -= -7 2266-11-26
L6463; D553 == D118 FALSE
L6464; D553 day=26
L6465; D553-D27 = 93016
L6466;D561 added 6 years 2396-05-04
L6467;D561 -= 4 2396-04-30
L6468;D552 added 0 years 2167-07-02
L6469; D552 mod_julian_day=112722
L6470; D552 month=7
L6471;D588 -= 7 2195-11-29
L6472; D588 year=2195
L6473;D114 -- 2373-02-27
L6474; D114 year=2373
L6475; D114 month=2
L6476;D379 added 9 years 2166-04-20
L6477;D379 added 1 months 2166-05-20
L6478; D379<D265 FALSE
L6479; D379 month=5
L6480; D379 year=2166
L6481; D379 month_name=may
L6482;D87 -= -5 2260-03-05
L6483; D87-D46 = 62464
L6484; D87 year=2260
L6485; D87 mod_julian_day=146571
L6486; D87 printed 2260-03-05
L6487; D592 month_name=july
L6488; D592 days_this_month=31
L6489; D592 == D230 FALSE
L6490;D544 -= -9 2221-02-24
L6491; D544 == D145 FALSE
L6492; D544>=D458 TRUE
L6493;D308 -= 1 2239-10-21
L6494;D308 += 9 2239-10-30
L6495; D308 days_this_month=31
L6496; D308<D245 TRUE
L6497; D183 year=2217
L6498;D343 added -9 months 2339-03-07
L6499; D343<D238 TRUE
L6500; D343-D538 = 93672
L6501; D343>D261 TRUE
L6502;D589 -= -7 2325-10-07
L6503; D589 days_this_month=31
L6504; D551 week_day=2
L6505; D551 week_day_name=tuesday
L6506; D483<D236 TRUE
L6507; D483 mod_julian_day=133772
L6508; D496 days_this_month=31
L6509;D524=D508 2320-02-29
L6510;D524 -= -2 2320-03-02
L6511; D524 == D128 FALSE
L6512; D524<D429 FALSE
L6513; D524 year=2320
L6514; D524<=D307 FALSE
L6515;D449 added -2 years 2087-09-17
L6516; D449<=D504 TRUE
L6517; D449 == D222 FALSE
L6518; D449 printed 2087-09-17
L6519; D449 days_this_month=30
L6520; D474 month_name=april
L6521;D150 -= -2 2148-09-25
L6522;D150 -- 2148-09-24
L6523; D150 year=2148
L6524; D150 week_day_name=tuesday
L6525; D150-D595 = -76746
L6526; D150 mod_julian_day=105867
L6527;D541 ++ 1990-06-04
L6528;D541 += -8 1990-05-27
L6529; D541 days_this_month=31
L6530; D541>=D560 FALSE
L6531; D541 week_day_name=sunday
L6532; D188 == D558 FALSE
L6533; D188 month=2
L6534; D188 month_name=february
L6535; D188<D534 FALSE
L6536;D345=D243 2073-03-03
L6537;D345 -= -8 2073-03-11
L6538; D345<=D236 TRUE
L6539; D345<D539 TRUE
L6540; D238 == D362 FALSE
L6541; D238 month_name=april
L6542; D238<D172 FALSE
L6543; D238 week_day=1
L6544; D379>=D77 FALSE
L6545; D379<=D170 FALSE
L6546; D379 day=20
L6547;D528 added 1 years 2200-07-19
L6548;D528 ++ 2200-07-20
L6549; D528 != D264 TRUE
L6550; D528 week_day_name=sunday
L6551; D528 == D561 FALSE
L6552;D508 added -3 years 2317-02-28
L6553;D508 -- 2317-02-27
L6554; D508 == D282 FALSE
L6555;D562 added -5 years 2122-04-02
L6556;D30 added 0 months 2023-07-29
L6557;D30 added 10 years 2033-07-29
L6558; D30-D194 = -82849
L6559; D30>D172 FALSE
L6560; D30 == D322 FALSE
L6561; D30 mod_julian_day=63807
L6562;D397 added 0 years 1995-12-31
L6563;D397 -= 9 1995-12-22
L6564; D397 year=1995
L6565; D397 month=12
L6566; D4 printed 1920-02-29
L6567; D4 month_name=february
L6568; D4 != D131 TRUE
L6569; D4<=D216 TRUE
L6570;D253 -= 8 2221-05-12
L6571; D253<=D87 TRUE
L6572; D253-D356 = 53025
L6573;D23 -- 2005-03-29
L6574;D23 += 1 2005-03-30
L6575; D23 printed 2005-03-30
L6576; D23<D254 TRUE
L6577; D23>D132 FALSE
L6578; D497>D449 TRUE
L6579; D385 mod_julian_day=54944
L6580; D385 day=23
L6581; D385>=D385 TRUE
L6582;D421 added 0 years 1967-02-24
L6583;D421 += -8 1967-02-16
L6584; D421<D533 TRUE
L6585; D421 != D443 TRUE
L6586;D7 -- 1935-03-03
L6587; D7>D200 FALSE
L6588; D7 month_name=march
L6589; D7<D186 TRUE
L6590; D7 day=3
L6591;D301 added 4 years 2336-05-10
L6592;D301 added 0 months 2336-06-10
L6593; D301 day=10
L6594; D301 month_name=june
L6595; D301 days_this_month=30
L6596; D301 != D570 TRUE
L6597;D197 added -8 years 1914-03-02
L6598; D197 month=3
L6599; D197 == D339 FALSE
L6600; D197 year=1914
L6601;D119 added 0 months 2392-03-29
L6602; D119 year=2392
L6603;D523 added 0 months 2221-04-02
L6604;D523 added 0 months 2221-04-02
L6605; D523 month_name=april
L6606;D390 added -4 months 2022-10-28
L6607; D390<=D504 TRUE
L6608; D390 day=28
L6609; D390 != D77 TRUE
L6610; D390 year=2022
L6611;D132 added 0 months 2114-02-25
L6612; D132 month=2
L6613; D132 week_day=7
L6614; D132 week_day_name=sunday
L6615; D132<=D157 TRUE
L6616;D226 -= 5 2351-12-17
L6617;D226=D175 2132-10-01
L6618; D226>D470 FALSE
L6619; D226 != D450 TRUE
L6620; D226 month=10
L6621; D226<=D179 TRUE
L6622;D103 added 0 months 2328-03-29
L6623;D103=D257 2393-02-07
L6624; D103 printed 2393-02-07
L6625; D383>D214 TRUE
L6626; D383<=D64 TRUE
L6627; D383-D287 = 28147
L6628; D145<D398 FALSE
L6629; D145 mod_julian_day=114549
L6630; D145<=D224 FALSE
L6631;D587 -= -2 2133-09-25
L6632; D587 printed 2133-09-25
L6633; D587 week_day=5
L6634; D587 day=25
L6635; D587 != D415 TRUE
L6636; D358 day=9
L6637; D358 days_this_month=31
L6638; D358>D195 TRUE
L6639;D233=D220 2021-06-08
L6640;D233 += 1 2021-06-09
L6641; D310 month=2
L6642; D310 printed 2020-02-29
L6643; D310<D331 TRUE
L6644; D310 day=29
L6645;D473 added -9 months 2171-05-29
L6646; D473 days_this_month=31
L6647; D473<=D353 TRUE
L6648;D377 += -9 2321-12-24
L6649;D377 added 7 months 2322-07-24
L6650; D377-D270 = 83366
L6651;D333 += -2 2029-04-27
L6652;D80 added 0 months 2230-05-28
L6653; D80 != D329 TRUE
L6654;D476 += -9 2183-03-19
L6655; D476-D560 = 37321
L6656; D476 day=19
L6657;D272 added -9 months 1995-04-27
L6658; D272 mod_julian_day=49834
L6659; D155<=D69 TRUE
L6660; D155 year=2123
L6661; D155-D389 = -100956
L6662; D155 day=4
L6663;D426=D459 1939-02-16
L6664;D426 -= -2 1939-02-18
L6665; D426 days_this_month=28
L6666; D426>D294 FALSE
L6667;D358 += -10 2319-11-29
L6668;D192 -- 2075-09-10
L6669; D192 week_day=2
L6670;D465 added 0 years 2079-03-06
L6671;D465 -- 2079-03-05
L6672; D465 month=3
L6673; D465 day=5
L6674;D19 added 0 years 1981-02-28
L6675; D19 day=28
L6676; D19<=D4 FALSE
L6677; D19 days_this_month=28
L6678;D579 -= 9 2373-10-26
L6679; D579 month=10
L6680;D29 ++ 2030-03-01
L6681;D29 -- 2030-02-28
L6682; D29 mod_julian_day=62560
L6683;D374 added -3 years 2256-11-01
L6684; D374 year=2256
L6685; D374 day=1
L6686; D374 mod_julian_day=145351
L6687; D374 month=11
L6688;D109 -- 2352-02-29
L6689; D109 month_name=february
L6690; D109 week_day=5
L6691; D109<=D218 FALSE
L6692;D292 added 0 years 2183-10-20
L6693; D292 day=20
L6694; D292 month=10
L6695;D343 -- 2339-03-06
L6696;D343 ++ 2339-03-07
L6697; D343>D134 TRUE
L6698; D343<=D35 FALSE
L6699;D400 -= -3 2174-09-24
L6700; D400 == D561 FALSE
L6701; D400-D331 = -20634
L6702; D400<D39 FALSE
L6703; D400>=D207 TRUE
L6704; D574 week_day_name=monday
L6705; D574 == D329 FALSE
L6706; D574 mod_julian_day=94946
L6707;D335 += -10 2266-11-09
L6708;D335 added -7 months 2266-04-09
L6709; D335 month_name=april
L6710; D335 printed 2266-04-09
L6711; D335 week_day_name=monday
L6712; D335>D228 TRUE
L6713; D426>D272 FALSE
L6714; D426>=D375 FALSE
L6715; D426 week_day=6
L6716; D426 == D54 FALSE
L6717;D482 -= -7 2215-03-04
L6718;D482 added -5 months 2214-10-04
L6719; D482<=D40 FALSE
L6720; D482 week_day=2
L6721; D482 == D598 FALSE
L6722;D535=D489 2240-03-10
L6723; D535 month=3
L6724; D535 year=2240
L6725; D535 days_this_month=31
L6726; D409 week_day_name=monday
L6727; D409<=D217 TRUE
L6728; D409-D237 = -63416
L6729;D348 added 0 years 2333-05-10
L6730; D348>=D218 TRUE
L6731; D502 day=29
L6732; D502 week_day=1
L6733; D502-D250 = 95115
L6734; D502<D436 FALSE
L6735; D492 month_name=july
L6736; D492 week_day=6
L6737; D492 == D142 FALSE
L6738; D150>D499 FALSE
L6739; D150<D340 TRUE
L6740; D150 day=24
L6741; D150 week_day=2
L6742;D212 += -8 2297-12-22
L6743;D212 added 1 years 2298-12-22
L6744; D212 week_day_name=thursday
L6745; D212 month=12
L6746; D212 == D212 TRUE
L6747; D304 == D539 FALSE
L6748; D304>D243 TRUE
L6749; D304 month=3
L6750; D304<=D164 FALSE
L6751;D547 added -5 months 1994-04-12
L6752;D547 added 5 years 1999-04-12
L6753;D300 -= -7 2114-10-15
L6754;D300 added -2 months 2114-08-15
L6755; D300 == D102 FALSE
L6756; D300<=D87 TRUE
L6757;D401 added 10 months 2385-07-26
L6758;D401 added -5 years 2380-07-26
L6759; D401 days_this_month=31
L6760; D401 day=26
L6761; D401 week_day=6
L6762;D268 += -8 1992-01-19
L6763;D268 -- 1992-01-18
L6764;D497 added -1 months 2272-01-29
L6765; D497>=D204 TRUE
L6766; D497 printed 2272-01-29
L6767; D52 week_day_name=saturday
L6768; D52-D276 = 4342
L6769;D372 ++ 2085-03-22
L6770;D372 added 0 months 2085-04-22
L6771; D372 != D194 TRUE
L6772; D372 printed 2085-04-22
L6773;D540 added 0 years 2386-11-06
L6774; D540-D496 = 43045
L6775; D540 month=11
L6776; D540 mod_julian_day=192837
L6777; D540 week_day=4
L6778;D137 added 0 months 2220-02-15
L6779;D137 added -2 years 2218-02-15
L6780; D137-D58 = 26153
L6781; D137>D328 FALSE
L6782; D137 == D48 FALSE
L6783; D137 month=2
L6784;D334=D213 1924-03-11
L6785;D334 added 0 years 1925-03-11
L6786;D180 added 0 months 2237-01-11
L6787; D180 year=2237
L6788; D180<=D569 FALSE
L6789; D180 days_this_month=31
L6790; D180<D230 FALSE
L6791;D80 added 9 months 2231-02-28
L6792;D415 += 7 1936-03-06
L6793;D415 added 1 years 1937-03-06
L6794; D415 month=3
L6795; D415 mod_julian_day=28598
L6796; D415 != D599 TRUE
L6797;D55 added 4 years 2127-03-05
L6798;D55 -- 2127-03-04
L6799; D55 year=2127
L6800;D150 -= 0 2148-09-24
L6801; D150 day=24
L6802; D150 week_day=2
L6803;D390 ++ 2022-10-29
L6804; D390<D254 TRUE
L6805; D390-D351 = -55480
L6806; D390>D375 TRUE
L6807; D390 month_name=october
L6808;D562 added -2 years 2120-04-02
L6809;D562 -= -10 2120-04-12
L6810; D562 month=4
L6811;D62 ++ 2156-03-04
L6812;D62 += -8 2156-02-25
L6813; D62 != D438 TRUE
L6814; D62<=D330 FALSE
L6815; D62 printed 2156-02-25
L6816;D503 added 0 years 2297-02-26
L6817;D503 -= 1 2297-02-25
L6818; D503 year=2297
L6819; D503 day=25
L6820; D503>=D245 FALSE
L6821; D503 != D247 TRUE
